Category,Critical active substance ,Prescription type,Category of use,Species,Year,Number of animal treatments
Pets,All types of active ingredients,All prescription types,All categories of use,All species,2024,553856
All animals,All types of active ingredients,Single treatments farm animals,Fattening turkeys,All species,2023,1
All animals,No,All prescription types,All categories of use,Rabbits,2023,47417
All animals,All types of active ingredients,Oral group treatments,Fattening turkeys,All species,2023,18260
Pets,All types of active ingredients,Single treatments companion animals,All categories of use,All species,2024,553856
All animals,No,Single treatments farm animals,All categories of use,Rabbits,2023,167
Pets,No,All prescription types,Equids,All species,2024,21734
All animals,No,All prescription types,Dairy cows,All species,2023,474875
All animals,No,Oral group treatments,All categories of use,Rabbits,2023,47250
Pets,No,Single treatments companion animals,Equids,All species,2024,21734
All animals,No,Single treatments farm animals,Dairy cows,All species,2023,474830
All animals,No,Oral group treatments,Dairy cows,All species,2023,45
Pets,Yes,All prescription types,Equids,All species,2024,1101
All animals,Yes,All prescription types,Dairy cows,All species,2023,36086
All animals,Yes,All prescription types,All categories of use,Rabbits,2023,2288
Pets,Yes,Single treatments companion animals,Equids,All species,2024,1101
All animals,Yes,Single treatments farm animals,Dairy cows,All species,2023,36086
All animals,Yes,Single treatments farm animals,All categories of use,Rabbits,2023,288
All animals,All types of active ingredients,All prescription types,Dairy cows,All species,2023,510961
Pets,All types of active ingredients,All prescription types,Equids,All species,2024,22835
All animals,Yes,Oral group treatments,All categories of use,Rabbits,2023,2000
All animals,All types of active ingredients,Single treatments farm animals,Dairy cows,All species,2023,510916
Pets,All types of active ingredients,Single treatments companion animals,Equids,All species,2024,22835
All animals,All types of active ingredients,Oral group treatments,Dairy cows,All species,2023,45
Pets,No,All prescription types,Dogs,All species,2024,200532
All animals,All types of active ingredients,All prescription types,All categories of use,Rabbits,2023,49705
Pets,No,Single treatments companion animals,Dogs,All species,2024,200532
All animals,All types of active ingredients,Single treatments farm animals,All categories of use,Rabbits,2023,455
All animals,No,All prescription types,Cow-calf calves,All species,2023,18311
Pets,Yes,All prescription types,Dogs,All species,2024,21606
All animals,All types of active ingredients,Oral group treatments,All categories of use,Rabbits,2023,49250
All animals,No,Single treatments farm animals,Cow-calf calves,All species,2023,18240
All animals,No,Oral group treatments,Cow-calf calves,All species,2023,71
All animals,No,All prescription types,Rabbits,Rabbits,2023,47417
Pets,Yes,Single treatments companion animals,Dogs,All species,2024,21606
All animals,No,Single treatments farm animals,Rabbits,Rabbits,2023,167
All animals,Yes,All prescription types,Cow-calf calves,All species,2023,3898
All animals,Yes,Single treatments farm animals,Cow-calf calves,All species,2023,3867
Pets,All types of active ingredients,All prescription types,Dogs,All species,2024,222138
All animals,No,Oral group treatments,Rabbits,Rabbits,2023,47250
All animals,Yes,Oral group treatments,Cow-calf calves,All species,2023,31
Pets,All types of active ingredients,Single treatments companion animals,Dogs,All species,2024,222138
All animals,All types of active ingredients,All prescription types,Cow-calf calves,All species,2023,22209
All animals,Yes,All prescription types,Rabbits,Rabbits,2023,2288
Pets,No,All prescription types,Cats,All species,2024,223231
All animals,All types of active ingredients,Single treatments farm animals,Cow-calf calves,All species,2023,22107
All animals,Yes,Single treatments farm animals,Rabbits,Rabbits,2023,288
Pets,No,Single treatments companion animals,Cats,All species,2024,223231
Pets,Yes,All prescription types,Cats,All species,2024,85652
All animals,Yes,Oral group treatments,Rabbits,Rabbits,2023,2000
All animals,All types of active ingredients,Oral group treatments,Cow-calf calves,All species,2023,102
Pets,Yes,Single treatments companion animals,Cats,All species,2024,85652
All animals,No,All prescription types,Suckler cows,All species,2023,30607
Pets,All types of active ingredients,All prescription types,Cats,All species,2024,308883
All animals,No,Single treatments farm animals,Suckler cows,All species,2023,30607
All animals,All types of active ingredients,All prescription types,Rabbits,Rabbits,2023,49705
Pets,All types of active ingredients,Single treatments companion animals,Cats,All species,2024,308883
All animals,Yes,All prescription types,Suckler cows,All species,2023,2136
Pets,No,All prescription types,All categories of use,Equids,2024,21734
All animals,All types of active ingredients,Single treatments farm animals,Rabbits,Rabbits,2023,455
All animals,Yes,Single treatments farm animals,Suckler cows,All species,2023,2136
Pets,No,Single treatments companion animals,All categories of use,Equids,2024,21734
All animals,All types of active ingredients,All prescription types,Suckler cows,All species,2023,32743
All animals,All types of active ingredients,Oral group treatments,Rabbits,Rabbits,2023,49250
Pets,Yes,All prescription types,All categories of use,Equids,2024,1101
All animals,No,All prescription types,All categories of use,Cats,2023,217590
All animals,All types of active ingredients,Single treatments farm animals,Suckler cows,All species,2023,32743
Pets,Yes,Single treatments companion animals,All categories of use,Equids,2024,1101
All animals,No,Single treatments companion animals,All categories of use,Cats,2023,217590
Pets,All types of active ingredients,All prescription types,All categories of use,Equids,2024,22835
All animals,Yes,All prescription types,All categories of use,Cats,2023,95826
Pets,All types of active ingredients,Single treatments companion animals,All categories of use,Equids,2024,22835
Pets,No,All prescription types,Equids,Equids,2024,21734
All animals,Yes,Single treatments companion animals,All categories of use,Cats,2023,95826
Pets,No,Single treatments companion animals,Equids,Equids,2024,21734
Pets,Yes,All prescription types,Equids,Equids,2024,1101
All animals,All types of active ingredients,All prescription types,All categories of use,Cats,2023,313416
Pets,Yes,Single treatments companion animals,Equids,Equids,2024,1101
All animals,No,All prescription types,Cattle nCU,All species,2023,20507
All animals,All types of active ingredients,Single treatments companion animals,All categories of use,Cats,2023,313416
All animals,No,Single treatments farm animals,Cattle nCU,All species,2023,20220
Pets,All types of active ingredients,All prescription types,Equids,Equids,2024,22835
All animals,No,Oral group treatments,Cattle nCU,All species,2023,287
All animals,No,All prescription types,Cats,Cats,2023,217590
Pets,All types of active ingredients,Single treatments companion animals,Equids,Equids,2024,22835
All animals,No,Single treatments companion animals,Cats,Cats,2023,217590
All animals,Yes,All prescription types,Cattle nCU,All species,2023,2490
All animals,Yes,All prescription types,Cats,Cats,2023,95826
Pets,No,All prescription types,All categories of use,Dogs,2024,200532
All animals,Yes,Single treatments farm animals,Cattle nCU,All species,2023,2451
Pets,No,Single treatments companion animals,All categories of use,Dogs,2024,200532
All animals,Yes,Oral group treatments,Cattle nCU,All species,2023,39
All animals,Yes,Single treatments companion animals,Cats,Cats,2023,95826
Pets,Yes,All prescription types,All categories of use,Dogs,2024,21606
All animals,All types of active ingredients,All prescription types,Cattle nCU,All species,2023,22997
All animals,All types of active ingredients,Single treatments farm animals,Cattle nCU,All species,2023,22671
All animals,All types of active ingredients,All prescription types,Cats,Cats,2023,313416
Pets,Yes,Single treatments companion animals,All categories of use,Dogs,2024,21606
All animals,All types of active ingredients,Oral group treatments,Cattle nCU,All species,2023,326
All animals,All types of active ingredients,Single treatments companion animals,Cats,Cats,2023,313416
Pets,All types of active ingredients,All prescription types,All categories of use,Dogs,2024,222138
All animals,No,All prescription types,Suckling and weaned piglets,All species,2023,81824
All animals,No,Single treatments farm animals,Suckling and weaned piglets,All species,2023,1860
Pets,All types of active ingredients,Single treatments companion animals,All categories of use,Dogs,2024,222138
All animals,No,Oral group treatments,Suckling and weaned piglets,All species,2023,79964
All animals,No,All prescription types,All categories of use,Cattle,2023,899882
All animals,Yes,All prescription types,Suckling and weaned piglets,All species,2023,14439
Pets,No,All prescription types,Dogs,Dogs,2024,200532
All animals,No,Single treatments farm animals,All categories of use,Cattle,2023,665643
All animals,Yes,Single treatments farm animals,Suckling and weaned piglets,All species,2023,6495
All animals,No,Oral group treatments,All categories of use,Cattle,2023,234239
Pets,No,Single treatments companion animals,Dogs,Dogs,2024,200532
Pets,Yes,All prescription types,Dogs,Dogs,2024,21606
All animals,Yes,Oral group treatments,Suckling and weaned piglets,All species,2023,7944
All animals,Yes,All prescription types,All categories of use,Cattle,2023,140088
Pets,Yes,Single treatments companion animals,Dogs,Dogs,2024,21606
All animals,All types of active ingredients,All prescription types,Suckling and weaned piglets,All species,2023,96263
All animals,Yes,Single treatments farm animals,All categories of use,Cattle,2023,98227
Pets,All types of active ingredients,All prescription types,Dogs,Dogs,2024,222138
All animals,All types of active ingredients,Single treatments farm animals,Suckling and weaned piglets,All species,2023,8355
Pets,All types of active ingredients,Single treatments companion animals,Dogs,Dogs,2024,222138
All animals,Yes,Oral group treatments,All categories of use,Cattle,2023,41861
All animals,All types of active ingredients,Oral group treatments,Suckling and weaned piglets,All species,2023,87908
Pets,No,All prescription types,All categories of use,Cats,2024,223231
All animals,No,All prescription types,Sheep,All species,2023,18781
Pets,No,Single treatments companion animals,All categories of use,Cats,2024,223231
All animals,All types of active ingredients,All prescription types,All categories of use,Cattle,2023,1039970
All animals,No,Single treatments farm animals,Sheep,All species,2023,16400
Pets,Yes,All prescription types,All categories of use,Cats,2024,85652
All animals,All types of active ingredients,Single treatments farm animals,All categories of use,Cattle,2023,763870
All animals,No,Oral group treatments,Sheep,All species,2023,2381
Pets,Yes,Single treatments companion animals,All categories of use,Cats,2024,85652
All animals,All types of active ingredients,Oral group treatments,All categories of use,Cattle,2023,276100
All animals,Yes,All prescription types,Sheep,All species,2023,2041
Pets,All types of active ingredients,All prescription types,All categories of use,Cats,2024,308883
All animals,Yes,Single treatments farm animals,Sheep,All species,2023,1391
All animals,Yes,Oral group treatments,Sheep,All species,2023,650
Pets,All types of active ingredients,Single treatments companion animals,All categories of use,Cats,2024,308883
All animals,No,All prescription types,Rearing calves,Cattle,2023,64486
Pets,No,All prescription types,Cats,Cats,2024,223231
All animals,No,Single treatments farm animals,Rearing calves,Cattle,2023,55148
Pets,No,Single treatments companion animals,Cats,Cats,2024,223231
All animals,No,Oral group treatments,Rearing calves,Cattle,2023,9338
All animals,Yes,All prescription types,Rearing calves,Cattle,2023,16140
Pets,Yes,All prescription types,Cats,Cats,2024,85652
All animals,Yes,Single treatments farm animals,Rearing calves,Cattle,2023,12672
All animals,All types of active ingredients,All prescription types,Sheep,All species,2023,20822
All animals,Yes,Oral group treatments,Rearing calves,Cattle,2023,3468
Pets,Yes,Single treatments companion animals,Cats,Cats,2024,85652
All animals,All types of active ingredients,Single treatments farm animals,Sheep,All species,2023,17791
All animals,All types of active ingredients,All prescription types,Rearing calves,Cattle,2023,80626
All animals,All types of active ingredients,Oral group treatments,Sheep,All species,2023,3031
All animals,All types of active ingredients,Single treatments farm animals,Rearing calves,Cattle,2023,67820
All animals,All types of active ingredients,Oral group treatments,Rearing calves,Cattle,2023,12806
All animals,No,All prescription types,Rearing cattle,Cattle,2023,23370
All animals,No,Single treatments farm animals,Rearing cattle,Cattle,2023,22786
All animals,No,Oral group treatments,Rearing cattle,Cattle,2023,584
All animals,Yes,All prescription types,Rearing cattle,Cattle,2023,3086
All animals,Yes,Single treatments farm animals,Rearing cattle,Cattle,2023,2604
All animals,Yes,Oral group treatments,Rearing cattle,Cattle,2023,482
All animals,All types of active ingredients,All prescription types,Rearing cattle,Cattle,2023,26456
All animals,All types of active ingredients,Single treatments farm animals,Rearing cattle,Cattle,2023,25390
All animals,All types of active ingredients,Oral group treatments,Rearing cattle,Cattle,2023,1066
All animals,No,All prescription types,Fattening calves and cattle,Cattle,2023,267726
All animals,No,All prescription types,Pigs nCU,All species,2023,1258
All animals,No,Single treatments farm animals,Pigs nCU,All species,2023,321
All animals,No,Oral group treatments,Pigs nCU,All species,2023,937
Pets,All types of active ingredients,All prescription types,Cats,Cats,2024,308883
All animals,Yes,All prescription types,Pigs nCU,All species,2023,90
All animals,Yes,Single treatments farm animals,Pigs nCU,All species,2023,42
All animals,No,Single treatments farm animals,Fattening calves and cattle,Cattle,2023,43812
All animals,Yes,Oral group treatments,Pigs nCU,All species,2023,48
Pets,All types of active ingredients,Single treatments companion animals,Cats,Cats,2024,308883
All animals,No,Oral group treatments,Fattening calves and cattle,Cattle,2023,223914
All animals,All types of active ingredients,All prescription types,Pigs nCU,All species,2023,1348
Farm animals,No,All prescription types,All categories of use,All species,2024,13519006
All animals,Yes,All prescription types,Fattening calves and cattle,Cattle,2023,76252
Farm animals,No,Single treatments farm animals,All categories of use,All species,2024,726803
All animals,All types of active ingredients,Single treatments farm animals,Pigs nCU,All species,2023,363
All animals,Yes,Single treatments farm animals,Fattening calves and cattle,Cattle,2023,38411
All animals,All types of active ingredients,Oral group treatments,Pigs nCU,All species,2023,985
Farm animals,No,Oral group treatments,All categories of use,All species,2024,12792203
All animals,Yes,Oral group treatments,Fattening calves and cattle,Cattle,2023,37841
All animals,All types of active ingredients,All prescription types,Fattening calves and cattle,Cattle,2023,343978
Farm animals,Yes,All prescription types,All categories of use,All species,2024,1275682
All animals,All types of active ingredients,Single treatments farm animals,Fattening calves and cattle,Cattle,2023,82223
Farm animals,Yes,Single treatments farm animals,All categories of use,All species,2024,115899
All animals,All types of active ingredients,Oral group treatments,Fattening calves and cattle,Cattle,2023,261755
Farm animals,Yes,Oral group treatments,All categories of use,All species,2024,1159783
All animals,No,All prescription types,Dairy cows,Cattle,2023,474875
All animals,No,Single treatments farm animals,Dairy cows,Cattle,2023,474830
Farm animals,All types of active ingredients,All prescription types,All categories of use,All species,2024,14794688
Farm animals,All types of active ingredients,Single treatments farm animals,All categories of use,All species,2024,842702
All animals,No,Oral group treatments,Dairy cows,Cattle,2023,45
Farm animals,All types of active ingredients,Oral group treatments,All categories of use,All species,2024,13951986
All animals,Yes,All prescription types,Dairy cows,Cattle,2023,36086
All animals,No,All prescription types,Goats,All species,2023,10041
All animals,Yes,Single treatments farm animals,Dairy cows,Cattle,2023,36086
Farm animals,No,All prescription types,Rearing laying hens and parent birds,All species,2024,84693
All animals,No,Single treatments farm animals,Goats,All species,2023,7795
All animals,All types of active ingredients,All prescription types,Dairy cows,Cattle,2023,510961
Farm animals,No,Oral group treatments,Rearing laying hens and parent birds,All species,2024,84693
All animals,No,Oral group treatments,Goats,All species,2023,2246
All animals,All types of active ingredients,Single treatments farm animals,Dairy cows,Cattle,2023,510916
Farm animals,Yes,All prescription types,Rearing laying hens and parent birds,All species,2024,176433
All animals,All types of active ingredients,Oral group treatments,Dairy cows,Cattle,2023,45
All animals,Yes,All prescription types,Goats,All species,2023,2048
Farm animals,Yes,Single treatments farm animals,Rearing laying hens and parent birds,All species,2024,4
All animals,No,All prescription types,Cow-calf calves,Cattle,2023,18311
All animals,Yes,Single treatments farm animals,Goats,All species,2023,758
Farm animals,Yes,Oral group treatments,Rearing laying hens and parent birds,All species,2024,176429
All animals,Yes,Oral group treatments,Goats,All species,2023,1290
All animals,No,Single treatments farm animals,Cow-calf calves,Cattle,2023,18240
Farm animals,All types of active ingredients,All prescription types,Rearing laying hens and parent birds,All species,2024,261126
All animals,All types of active ingredients,All prescription types,Goats,All species,2023,12089
Farm animals,All types of active ingredients,Single treatments farm animals,Rearing laying hens and parent birds,All species,2024,4
All animals,All types of active ingredients,Single treatments farm animals,Goats,All species,2023,8553
All animals,No,Oral group treatments,Cow-calf calves,Cattle,2023,71
Farm animals,All types of active ingredients,Oral group treatments,Rearing laying hens and parent birds,All species,2024,261122
All animals,All types of active ingredients,Oral group treatments,Goats,All species,2023,3536
All animals,Yes,All prescription types,Cow-calf calves,Cattle,2023,3898
Farm animals,No,All prescription types,Rearing calves,All species,2024,63389
Farm animals,No,Single treatments farm animals,Rearing calves,All species,2024,55297
All animals,Yes,Single treatments farm animals,Cow-calf calves,Cattle,2023,3867
Farm animals,No,Oral group treatments,Rearing calves,All species,2024,8092
All animals,Yes,Oral group treatments,Cow-calf calves,Cattle,2023,31
Farm animals,Yes,All prescription types,Rearing calves,All species,2024,16536
All animals,All types of active ingredients,All prescription types,Cow-calf calves,Cattle,2023,22209
All animals,All types of active ingredients,Single treatments farm animals,Cow-calf calves,Cattle,2023,22107
Farm animals,Yes,Single treatments farm animals,Rearing calves,All species,2024,13214
All animals,All types of active ingredients,Oral group treatments,Cow-calf calves,Cattle,2023,102
Farm animals,Yes,Oral group treatments,Rearing calves,All species,2024,3322
Farm animals,All types of active ingredients,All prescription types,Rearing calves,All species,2024,79925
All animals,No,All prescription types,Suckler cows,Cattle,2023,30607
All animals,No,All prescription types,Breeding sows and boars,All species,2023,2505
Farm animals,All types of active ingredients,Single treatments farm animals,Rearing calves,All species,2024,68511
All animals,No,Single treatments farm animals,Suckler cows,Cattle,2023,30607
Farm animals,All types of active ingredients,Oral group treatments,Rearing calves,All species,2024,11414
All animals,No,Single treatments farm animals,Breeding sows and boars,All species,2023,1514
All animals,Yes,All prescription types,Suckler cows,Cattle,2023,2136
All animals,Yes,Single treatments farm animals,Suckler cows,Cattle,2023,2136
All animals,No,Oral group treatments,Breeding sows and boars,All species,2023,991
Farm animals,No,All prescription types,Rearing cattle,All species,2024,23364
All animals,All types of active ingredients,All prescription types,Suckler cows,Cattle,2023,32743
Farm animals,No,Single treatments farm animals,Rearing cattle,All species,2024,22798
All animals,Yes,All prescription types,Breeding sows and boars,All species,2023,1078
All animals,All types of active ingredients,Single treatments farm animals,Suckler cows,Cattle,2023,32743
Farm animals,No,Oral group treatments,Rearing cattle,All species,2024,566
All animals,Yes,Single treatments farm animals,Breeding sows and boars,All species,2023,1078
Farm animals,Yes,All prescription types,Rearing cattle,All species,2024,2354
All animals,All types of active ingredients,All prescription types,Breeding sows and boars,All species,2023,3583
Farm animals,Yes,Single treatments farm animals,Rearing cattle,All species,2024,2287
All animals,All types of active ingredients,Single treatments farm animals,Breeding sows and boars,All species,2023,2592
Farm animals,Yes,Oral group treatments,Rearing cattle,All species,2024,67
All animals,All types of active ingredients,Oral group treatments,Breeding sows and boars,All species,2023,991
Farm animals,All types of active ingredients,All prescription types,Rearing cattle,All species,2024,25718
Farm animals,All types of active ingredients,Single treatments farm animals,Rearing cattle,All species,2024,25085
All animals,No,All prescription types,Cattle nCU,Cattle,2023,20507
All animals,No,All prescription types,All categories of use,Equids,2023,21568
All animals,No,Single treatments farm animals,Cattle nCU,Cattle,2023,20220
Farm animals,All types of active ingredients,Oral group treatments,Rearing cattle,All species,2024,633
All animals,No,Single treatments companion animals,All categories of use,Equids,2023,21568
All animals,Yes,All prescription types,All categories of use,Equids,2023,1044
All animals,No,Oral group treatments,Cattle nCU,Cattle,2023,287
All animals,Yes,Single treatments companion animals,All categories of use,Equids,2023,1044
Farm animals,No,All prescription types,Fish,All species,2024,5916760
All animals,All types of active ingredients,All prescription types,All categories of use,Equids,2023,22612
All animals,Yes,All prescription types,Cattle nCU,Cattle,2023,2490
All animals,All types of active ingredients,Single treatments companion animals,All categories of use,Equids,2023,22612
All animals,Yes,Single treatments farm animals,Cattle nCU,Cattle,2023,2451
Farm animals,No,Single treatments farm animals,Fish,All species,2024,5550
All animals,No,All prescription types,Equids,Equids,2023,21568
All animals,No,Single treatments companion animals,Equids,Equids,2023,21568
All animals,Yes,Oral group treatments,Cattle nCU,Cattle,2023,39
Farm animals,No,Oral group treatments,Fish,All species,2024,5911210
All animals,Yes,All prescription types,Equids,Equids,2023,1044
All animals,All types of active ingredients,All prescription types,Cattle nCU,Cattle,2023,22997
Farm animals,All types of active ingredients,All prescription types,Fish,All species,2024,5916760
All animals,Yes,Single treatments companion animals,Equids,Equids,2023,1044
All animals,All types of active ingredients,Single treatments farm animals,Cattle nCU,Cattle,2023,22671
Farm animals,All types of active ingredients,Single treatments farm animals,Fish,All species,2024,5550
All animals,All types of active ingredients,All prescription types,Equids,Equids,2023,22612
All animals,All types of active ingredients,Oral group treatments,Cattle nCU,Cattle,2023,326
Farm animals,All types of active ingredients,Oral group treatments,Fish,All species,2024,5911210
All animals,All types of active ingredients,Single treatments companion animals,Equids,Equids,2023,22612
All animals,No,All prescription types,All categories of use,Sheep,2023,18781
All animals,No,Single treatments farm animals,All categories of use,Sheep,2023,16400
All animals,No,All prescription types,All categories of use,Fish,2023,7923202
All animals,No,Oral group treatments,All categories of use,Sheep,2023,2381
All animals,No,Oral group treatments,All categories of use,Fish,2023,7923202
All animals,Yes,All prescription types,All categories of use,Sheep,2023,2041
All animals,All types of active ingredients,All prescription types,All categories of use,Fish,2023,7923202
All animals,Yes,Single treatments farm animals,All categories of use,Sheep,2023,1391
All animals,All types of active ingredients,Oral group treatments,All categories of use,Fish,2023,7923202
All animals,Yes,Oral group treatments,All categories of use,Sheep,2023,650
All animals,No,All prescription types,Fish,Fish,2023,7923202
All animals,No,Oral group treatments,Fish,Fish,2023,7923202
All animals,All types of active ingredients,All prescription types,All categories of use,Sheep,2023,20822
All animals,All types of active ingredients,All prescription types,Fish,Fish,2023,7923202
All animals,All types of active ingredients,Single treatments farm animals,All categories of use,Sheep,2023,17791
All animals,All types of active ingredients,Oral group treatments,Fish,Fish,2023,7923202
All animals,All types of active ingredients,Oral group treatments,All categories of use,Sheep,2023,3031
Farm animals,No,All prescription types,Poultry nCU,All species,2024,2011
All animals,No,All prescription types,Sheep,Sheep,2023,18781
Farm animals,No,Single treatments farm animals,Poultry nCU,All species,2024,11
All animals,No,Single treatments farm animals,Sheep,Sheep,2023,16400
Farm animals,No,Oral group treatments,Poultry nCU,All species,2024,2000
All animals,No,Oral group treatments,Sheep,Sheep,2023,2381
All animals,Yes,All prescription types,Sheep,Sheep,2023,2041
Farm animals,Yes,All prescription types,Poultry nCU,All species,2024,29
All animals,Yes,Single treatments farm animals,Sheep,Sheep,2023,1391
Farm animals,Yes,Single treatments farm animals,Poultry nCU,All species,2024,29
All animals,No,All prescription types,All categories of use,Poultry,2023,5840010
All animals,Yes,Oral group treatments,Sheep,Sheep,2023,650
Farm animals,All types of active ingredients,All prescription types,Poultry nCU,All species,2024,2040
All animals,No,Single treatments farm animals,All categories of use,Poultry,2023,20
All animals,All types of active ingredients,All prescription types,Sheep,Sheep,2023,20822
Farm animals,All types of active ingredients,Single treatments farm animals,Poultry nCU,All species,2024,40
All animals,No,Oral group treatments,All categories of use,Poultry,2023,5839990
Farm animals,All types of active ingredients,Oral group treatments,Poultry nCU,All species,2024,2000
Farm animals,No,All prescription types,Game animals,All species,2024,20
Farm animals,No,Single treatments farm animals,Game animals,All species,2024,20
All animals,Yes,All prescription types,All categories of use,Poultry,2023,1264201
Farm animals,Yes,All prescription types,Game animals,All species,2024,1
All animals,Yes,Single treatments farm animals,All categories of use,Poultry,2023,57
Farm animals,Yes,Single treatments farm animals,Game animals,All species,2024,1
All animals,Yes,Oral group treatments,All categories of use,Poultry,2023,1264144
Farm animals,All types of active ingredients,All prescription types,Game animals,All species,2024,21
All animals,All types of active ingredients,Single treatments farm animals,Sheep,Sheep,2023,17791
Farm animals,All types of active ingredients,Single treatments farm animals,Game animals,All species,2024,21
All animals,All types of active ingredients,All prescription types,All categories of use,Poultry,2023,7104211
All animals,All types of active ingredients,Oral group treatments,Sheep,Sheep,2023,3031
All animals,All types of active ingredients,Single treatments farm animals,All categories of use,Poultry,2023,77
All animals,All types of active ingredients,Oral group treatments,All categories of use,Poultry,2023,7104134
All animals,No,All prescription types,Rearing laying hens and parent birds,Poultry,2023,99069
Farm animals,No,All prescription types,Young sows,All species,2024,678
All animals,No,Single treatments farm animals,Rearing laying hens and parent birds,Poultry,2023,13
Farm animals,No,Single treatments farm animals,Young sows,All species,2024,144
Farm animals,No,Oral group treatments,Young sows,All species,2024,534
All animals,No,Oral group treatments,Rearing laying hens and parent birds,Poultry,2023,99056
Farm animals,Yes,All prescription types,Young sows,All species,2024,49
All animals,Yes,All prescription types,Rearing laying hens and parent birds,Poultry,2023,130322
Farm animals,Yes,Single treatments farm animals,Young sows,All species,2024,29
Farm animals,Yes,Oral group treatments,Young sows,All species,2024,20
All animals,Yes,Single treatments farm animals,Rearing laying hens and parent birds,Poultry,2023,32
Farm animals,All types of active ingredients,All prescription types,Young sows,All species,2024,727
All animals,Yes,Oral group treatments,Rearing laying hens and parent birds,Poultry,2023,130290
Farm animals,All types of active ingredients,Single treatments farm animals,Young sows,All species,2024,173
Farm animals,All types of active ingredients,Oral group treatments,Young sows,All species,2024,554
All animals,All types of active ingredients,All prescription types,Rearing laying hens and parent birds,Poultry,2023,229391
Farm animals,No,All prescription types,Camelids,All species,2024,783
Farm animals,No,Single treatments farm animals,Camelids,All species,2024,783
All animals,All types of active ingredients,Single treatments farm animals,Rearing laying hens and parent birds,Poultry,2023,45
Farm animals,Yes,All prescription types,Camelids,All species,2024,119
All animals,No,All prescription types,All categories of use,Pigs,2023,141916
All animals,All types of active ingredients,Oral group treatments,Rearing laying hens and parent birds,Poultry,2023,229346
Farm animals,Yes,Single treatments farm animals,Camelids,All species,2024,119
All animals,No,Single treatments farm animals,All categories of use,Pigs,2023,8064
Farm animals,All types of active ingredients,All prescription types,Camelids,All species,2024,902
All animals,No,Oral group treatments,All categories of use,Pigs,2023,133852
Farm animals,All types of active ingredients,Single treatments farm animals,Camelids,All species,2024,902
All animals,No,All prescription types,Poultry nCU,Poultry,2023,4
All animals,Yes,All prescription types,All categories of use,Pigs,2023,22919
All animals,No,Single treatments farm animals,Poultry nCU,Poultry,2023,4
All animals,Yes,Single treatments farm animals,All categories of use,Pigs,2023,8811
All animals,Yes,All prescription types,Poultry nCU,Poultry,2023,19
All animals,Yes,Oral group treatments,All categories of use,Pigs,2023,14108
All animals,Yes,Single treatments farm animals,Poultry nCU,Poultry,2023,19
All animals,All types of active ingredients,All prescription types,Poultry nCU,Poultry,2023,23
All animals,All types of active ingredients,Single treatments farm animals,Poultry nCU,Poultry,2023,23
All animals,All types of active ingredients,All prescription types,All categories of use,Pigs,2023,164835
Farm animals,No,All prescription types,Rabbits,All species,2024,2417
All animals,No,All prescription types,Laying and parent birds,Poultry,2023,59971
All animals,All types of active ingredients,Single treatments farm animals,All categories of use,Pigs,2023,16875
Farm animals,No,Single treatments farm animals,Rabbits,All species,2024,17
All animals,No,Oral group treatments,Laying and parent birds,Poultry,2023,59971
Farm animals,No,Oral group treatments,Rabbits,All species,2024,2400
All animals,All types of active ingredients,Oral group treatments,All categories of use,Pigs,2023,147960
All animals,Yes,All prescription types,Laying and parent birds,Poultry,2023,15989
Farm animals,Yes,All prescription types,Rabbits,All species,2024,438
All animals,No,All prescription types,Young sows,Pigs,2023,533
Farm animals,Yes,Single treatments farm animals,Rabbits,All species,2024,438
All animals,Yes,Oral group treatments,Laying and parent birds,Poultry,2023,15989
All animals,No,Single treatments farm animals,Young sows,Pigs,2023,126
All animals,No,Oral group treatments,Young sows,Pigs,2023,407
All animals,All types of active ingredients,All prescription types,Laying and parent birds,Poultry,2023,75960
Farm animals,All types of active ingredients,All prescription types,Rabbits,All species,2024,2855
All animals,Yes,All prescription types,Young sows,Pigs,2023,332
Farm animals,All types of active ingredients,Single treatments farm animals,Rabbits,All species,2024,455
All animals,All types of active ingredients,Oral group treatments,Laying and parent birds,Poultry,2023,75960
All animals,Yes,Single treatments farm animals,Young sows,Pigs,2023,147
All animals,No,All prescription types,Laying hens,Poultry,2023,189433
Farm animals,All types of active ingredients,Oral group treatments,Rabbits,All species,2024,2400
All animals,Yes,Oral group treatments,Young sows,Pigs,2023,185
All animals,No,Single treatments farm animals,Laying hens,Poultry,2023,2
Farm animals,No,All prescription types,Laying and parent birds,All species,2024,83734
All animals,All types of active ingredients,All prescription types,Young sows,Pigs,2023,865
Farm animals,No,Oral group treatments,Laying and parent birds,All species,2024,83734
All animals,No,Oral group treatments,Laying hens,Poultry,2023,189431
Farm animals,Yes,All prescription types,Laying and parent birds,All species,2024,2256
All animals,Yes,All prescription types,Laying hens,Poultry,2023,28944
All animals,All types of active ingredients,Single treatments farm animals,Young sows,Pigs,2023,273
Farm animals,Yes,Single treatments farm animals,Laying and parent birds,All species,2024,2
All animals,All types of active ingredients,Oral group treatments,Young sows,Pigs,2023,592
Farm animals,Yes,Oral group treatments,Laying and parent birds,All species,2024,2254
All animals,Yes,Single treatments farm animals,Laying hens,Poultry,2023,4
Farm animals,All types of active ingredients,All prescription types,Laying and parent birds,All species,2024,85990
All animals,No,All prescription types,Fattening pigs,Pigs,2023,55796
All animals,Yes,Oral group treatments,Laying hens,Poultry,2023,28940
